X,Y,Radius,Color
3788,-12223,1,1
3786,-12222,1,1
3785,-12224,1,1
3785,-12225,1,1
3785,-12225,1,1
3785,-12225,1,1
3784,-12225,1,1
3784,-12225,1,1
3784,-12226,1,1
3784,-12225,1,1
3785,-12226,1,1
3785,-12226,1,1
3785,-12226,1,1
3784,-12226,1,1
3785,-12226,1,1
3785,-12226,1,1
3785,-12227,1,1
3785,-12227,1,1
3784,-12226,1,1
3784,-12227,1,1
3785,-12227,1,1
3785,-12227,1,1
3784,-12227,1,1
3784,-12227,1,1
3784,-12227,1,1
3785,-12228,1,1
3785,-12228,1,1
3785,-12228,1,1
3784,-12228,1,1
3784,-12228,1,1
3784,-12228,1,1
3784,-12228,1,1
3784,-12227,1,1
3783,-12227,1,1
3783,-12227,1,1
3783,-12227,1,1
3783,-12227,1,1
3783,-12228,1,1
3783,-12226,1,1
3783,-12226,1,1
3783,-12226,1,1
3783,-12226,1,1
3784,-12226,1,1
3784,-12226,1,1
3783,-12226,1,1
3783,-12226,1,1
3783,-12226,1,1
3782,-12227,1,1
3782,-12226,1,1
3782,-12227,1,1
3782,-12227,1,1
3782,-12227,1,1
3782,-12227,1,1
3782,-12227,1,1
3782,-12228,1,1
3782,-12228,1,1
3782,-12228,1,1
3782,-12228,1,1
3782,-12228,1,1
3782,-12229,1,1
3783,-12229,1,1
3782,-12229,1,1
3781,-12229,1,1
3781,-12230,1,1
3781,-12230,1,1
3781,-12230,1,1
3781,-12230,1,1
3780,-12229,1,1
3781,-12230,1,1
3781,-12229,1,1
3781,-12229,1,1
3781,-12229,1,1
3781,-12229,1,1
3781,-12229,1,1
3781,-12229,1,1
3781,-12228,1,1
3781,-12228,1,1
3781,-12228,1,1
3781,-12229,1,1
3780,-12228,1,1
3781,-12228,1,1
3781,-12227,1,1
3781,-12228,1,1
3781,-12228,1,1
3781,-12228,1,1
3781,-12228,1,1
3781,-12227,1,1
3781,-12227,1,1
3780,-12227,1,1
3780,-12227,1,1
3780,-12227,1,1
3780,-12228,1,1
3780,-12228,1,1
3779,-12227,1,1
3780,-12227,1,1
3780,-12226,1,1
3782,-12226,1,1
3781,-12226,1,1
3782,-12226,1,1
3782,-12226,1,1
3781,-12225,1,1
3781,-12225,1,1
3781,-12225,1,1
3781,-12225,1,1
3781,-12226,1,1
3782,-12224,1,1
3781,-12224,1,1
3781,-12225,1,1
3782,-12224,1,1
3782,-12225,1,1
3782,-12225,1,1
3782,-12225,1,1
3782,-12225,1,1
3783,-12225,1,1
3783,-12225,1,1
3783,-12225,1,1
3783,-12225,1,1
3783,-12225,1,1
3784,-12223,1,1
3784,-12223,1,1
3783,-12224,1,1
3785,-12224,1,1
3785,-12223,1,1
3784,-12224,1,1
3785,-12224,1,1
3785,-12222,1,1
3784,-12222,1,1
3784,-12221,1,1
3783,-12221,1,1
3784,-12220,1,1
3784,-12221,1,1
3784,-12219,1,1
3784,-12220,1,1
3783,-12221,1,1
3783,-12219,1,1
3783,-12220,1,1
3783,-12219,1,1
3782,-12219,1,1
3782,-12220,1,1
3782,-12220,1,1
3781,-12218,1,1
3782,-12221,1,1
3781,-12220,1,1
3780,-12221,1,1
3780,-12221,1,1
3781,-12221,1,1
3781,-12222,1,1
3780,-12222,1,1
3780,-12222,1,1
3780,-12222,1,1
3781,-12222,1,1
3781,-12222,1,1
3780,-12223,1,1
3781,-12223,1,1
3781,-12222,1,1
3781,-12223,1,1
3781,-12224,1,1
3781,-12224,1,1
3781,-12223,1,1
3781,-12224,1,1
3780,-12224,1,1
3780,-12225,1,1
3781,-12224,1,1
3781,-12225,1,1
3780,-12225,1,1
3780,-12225,1,1
3780,-12225,1,1
3780,-12225,1,1
3779,-12224,1,1
3779,-12225,1,1
3779,-12225,1,1
3779,-12225,1,1
3780,-12225,1,1
3780,-12225,1,1
3780,-12224,1,1
3780,-12224,1,1
3780,-12224,1,1
3780,-12224,1,1
3780,-12223,1,1
3780,-12224,1,1
3780,-12224,1,1
3780,-12223,1,1
3780,-12223,1,1
3780,-12223,1,1
3780,-12223,1,1
3779,-12223,1,1
3779,-12223,1,1
3779,-12223,1,1
3779,-12224,1,1
3779,-12224,1,1
3779,-12224,1,1
3779,-12224,1,1
3779,-12225,1,1
3779,-12225,1,1
3779,-12225,1,1
3780,-12226,1,1
3777,-12222,1,1
3777,-12222,1,1
3777,-12223,1,1
3778,-12223,1,1
3778,-12223,1,1
3778,-12222,1,1
3778,-12223,1,1
3778,-12223,1,1
3778,-12223,1,1
3779,-12223,1,1
3779,-12223,1,1
3779,-12222,1,1
3779,-12223,1,1
3779,-12223,1,1
3779,-12222,1,1
3779,-12222,1,1
3779,-12221,1,1
3779,-12222,1,1
3779,-12222,1,1
3779,-12222,1,1
3779,-12220,1,1
3779,-12221,1,1
3779,-12221,1,1
3779,-12221,1,1
3780,-12221,1,1
3780,-12221,1,1
3780,-12220,1,1
3780,-12220,1,1
3780,-12221,1,1
3780,-12220,1,1
3780,-12221,1,1
3780,-12219,1,1
3780,-12219,1,1
3779,-12219,1,1
3779,-12220,1,1
3780,-12220,1,1
3780,-12219,1,1
3779,-12219,1,1
3779,-12219,1,1
3779,-12220,1,1
3779,-12220,1,1
3779,-12220,1,1
3779,-12221,1,1
3779,-12220,1,1
3778,-12221,1,1
3778,-12221,1,1
3778,-12221,1,1
