X,Y,Radius,Color
84,59,1,1
84,269,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,322,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
84,374,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
130,399,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,59,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,113,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,269,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,374,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
176,426,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,192,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,244,1,1
222,296,1,1
222,296,1,1
222,296,1,1
222,296,1,1
222,296,1,1
222,296,1,1
222,296,1,1
