X,Y,Radius,Color
0,542,1,1
0,0,1,1
782,542,1,1
782,0,1,1
53,254,1,1
51.9999999999999,259,1,1
46.9999999999999,265,1,1
43.9999999999999,272,1,1
50.9999999999999,276,1,1
51.9999999999999,283,1,1
58,287,1,1
53,290,1,1
63.9999999999999,290,1,1
71.9999999999999,291,1,1
76.9999999999999,287,1,1
75.9999999999999,279,1,1
80.9999999999999,277,1,1
84.9999999999999,270,1,1
81.9999999999999,266,1,1
76.9999999999999,260,1,1
74.9999999999999,258,1,1
69.9999999999999,255,1,1
61.9999999999999,255,1,1
75.9999999999999,253,1,1
63,261,1,1
54.9999999999999,265,1,1
55.9999999999999,272,1,1
59.9999999999999,275,1,1
63.9999999999999,281,1,1
64.9999999999999,285,1,1
68.9999999999999,283,1,1
67.9999999999999,274,1,1
63,271,1,1
66.9999999999999,263,1,1
72.9999999999999,266,1,1
76.9999999999999,272,1,1
76.9999999999999,274,1,1
68.9999999999999,281,1,1
54.9999999999999,283,1,1
46.9999999999999,281,1,1
44.9999999999999,279,1,1
44.9999999999999,272,1,1
50.9999999999999,268,1,1
59.9999999999999,263,1,1
66.9999999999999,257,1,1
78.9999999999999,261,1,1
81.9999999999999,268,1,1
82.9999999999999,278,1,1
78.9999999999999,282,1,1
71.9999999999999,285,1,1
64.9999999999999,286,1,1
56.9999999999999,286,1,1
53,283,1,1
48.9999999999999,277,1,1
47.9999999999999,271,1,1
47.9999999999999,266,1,1
55.9999999999999,263,1,1
66.9999999999999,265,1,1
72.9999999999999,269,1,1
72.9999999999999,273,1,1
63.9999999999999,275,1,1
59.9999999999999,275,1,1
58,272,1,1
61.9999999999999,268,1,1
67.9999999999999,268,1,1
69.9999999999999,271,1,1
70.9999999999999,276,1,1
67.9999999999999,280,1,1
61.9999999999999,281,1,1
53.9999999999999,280,1,1
48.9999999999999,269,1,1
50.9999999999999,260,1,1
55.9999999999999,258,1,1
58.9999999999999,256,1,1
55.9999999999999,254,1,1
63,253,1,1
72.9999999999999,257,1,1
78.9999999999999,265,1,1
78.9999999999999,272,1,1
74.9999999999999,284,1,1
64.9999999999999,286,1,1
55.9999999999999,289,1,1
50.9999999999999,282,1,1
46.9999999999999,276,1,1
45.9999999999999,271,1,1
48.9999999999999,265,1,1
