X,Y,Radius,Color
0,542,1,1
0,0,1,1
782,542,1,1
782,0,1,1
38.9999999999999,489,1,1
40.9999999999999,492,1,1
44.9999999999999,496,1,1
45.9999999999999,497,1,1
48.9999999999999,499,1,1
51.9999999999999,502,1,1
51.9999999999999,505,1,1
51.9999999999999,508,1,1
55.9999999999999,510,1,1
63,510,1,1
65.9999999999999,510,1,1
71.9999999999999,510,1,1
73.9999999999999,510,1,1
75.9999999999999,509,1,1
76.9999999999999,506,1,1
78.9999999999999,501,1,1
79.9999999999999,498,1,1
83.9999999999999,497,1,1
83.9999999999999,497,1,1
87.9999999999999,489,1,1
89.9999999999999,485,1,1
89.9999999999999,485,1,1
86.9999999999999,483,1,1
80.9999999999999,478,1,1
77.9999999999999,476,1,1
77.9999999999999,472,1,1
81.9999999999999,473,1,1
83.9999999999999,477,1,1
76.9999999999999,472,1,1
74.9999999999999,471,1,1
74.9999999999999,470,1,1
74.9999999999999,470,1,1
75.9999999999999,468,1,1
75.9999999999999,465,1,1
69.9999999999999,465,1,1
66.9999999999999,465,1,1
63,465,1,1
58,465,1,1
53.9999999999999,465,1,1
53,466,1,1
50.9999999999999,468,1,1
47.9999999999999,473,1,1
47.9999999999999,476,1,1
45.9999999999999,478,1,1
43.9999999999999,483,1,1
41.9999999999999,486,1,1
41.9999999999999,487,1,1
46.9999999999999,490,1,1
50.9999999999999,494,1,1
53.9999999999999,495,1,1
56.9999999999999,502,1,1
58,502,1,1
61.9999999999999,496,1,1
59.9999999999999,491,1,1
51.9999999999999,487,1,1
51.9999999999999,484,1,1
53.9999999999999,481,1,1
56.9999999999999,477,1,1
60.9999999999999,476,1,1
63.9999999999999,476,1,1
68.9999999999999,478,1,1
73.9999999999999,484,1,1
76.9999999999999,485,1,1
77.9999999999999,488,1,1
67.9999999999999,478,1,1
59.9999999999999,474,1,1
49.9999999999999,474,1,1
58,470,1,1
67.9999999999999,472,1,1
71.9999999999999,475,1,1
71.9999999999999,485,1,1
65.9999999999999,489,1,1
61.9999999999999,489,1,1
63.9999999999999,490,1,1
68.9999999999999,493,1,1
68.9999999999999,495,1,1
68.9999999999999,498,1,1
64.9999999999999,499,1,1
61.9999999999999,498,1,1
61.9999999999999,501,1,1
65.9999999999999,502,1,1
